id|Autor/a|Obra|Fecha de estreno|Dirección|Compañía|Festivales|Lugar de estreno|fechaFormat|lat|lon|uuid
196|Francisco de Rojas Zorrilla|Morir pensando matar |19 de junio de 2007|Ernesto Caballero|Compañía Siglo de Oro, RESAD|Festival Clásicos en Alcalá|Corral de COmedias de Zapateros de Alcalá de Henares (Madrid)||40.4822922|-3.3645504|52104c9a-2535-4c84-8652-978cf2b2b999
197|Francisco de Rojas Zorrilla|Entre bobos anda el juego||Amelia Die|Zurdos Contrariados||||||5a856406-3a09-47e2-abcb-c30e25c4a126
198|Francisco de Rojas Zorrilla|Sin honra no hay amistad||Juanma Navas|Rezuma Teatro||||||3d05a099-b7ac-4694-a57a-01200810711d
199|Francisco de Rojas Zorrilla|Abre el ojo |25 de noviembre de 2011|Rafael Rodríguez|2rc Teatro Compañía de Repertorio||Teatro Cuyás de Las Palmas de Gran Canaria, Las Palmas (Islas Canarias)||28.1063842|-15.4183244|08a8a0ea-1f48-46ce-93c4-8d445225e575
200|Francisco de Rojas Zorrilla|Donde hay agravios no hay celos||Liuba Cid|Mephisto Teatro||||||256e5180-ed85-4ebe-9f68-9791a8d0b4be
201|Francisco de Rojas Zorrilla|Abre el ojo|8 de agosto de 2012|Javier Mateo|Doble K Teatro|Festival Internacional de Teatro, Músia y Danza de San Javier|Auditorio Parque Almansa de San Javier (Murcia)||37.8033532|-0.8336313|8b9d4db4-5000-4965-bbd8-d19d6adc779c
202|Francisco de Rojas Zorrilla|Obligados y ofendidos|19 de julio de 2012|Francisco Lidón Plaza|Aula de Teatro de Arquitectura de la Universidad Politécnica de Madrid|Campaña Las Huellas de La Barraca|Ermita de La Magdalena de Almagro||38.8844811|-3.7098712|1ef9e655-e55e-42fe-9adc-1e5fe952fc35
203|Francisco de Rojas Zorrilla|Celos y agravios ||Liuba Cid|Mephisto teatro|Festival Internacional de Teatro Clásico de Cáceres|Cáceres (Extremadura)||39.4716366|-6.3907192|b8f0b6f2-b669-49f4-a8d8-81fe72cdb364
204|Francisco de Rojas Zorrilla|Donde hay agravios no hay celos|3 de julio de 2014|Helena Pimenta|Compañía Nacional de Teatro Clásico (CNTC)|Festival Internacional de Teatro Clásico |Hospital de San Juan de Almagro, Ciudad Real (Castilla La Mancha)||38.8906549|-3.712043|8d6edbaf-3601-465f-ab70-8c22472b84d9
205|Francisco de Rojas Zorrilla|Los áspides de Cleopatra|7 de septimbre de 2013 (Buenos Aires) 12 de enero de 2014 (España)|Guillermo Heras|Compañía Nacional de Teatro Clásico (CNTC)||Teatro Pavón (Madrid)||40.410031|-3.7061552|1b5076a3-3d40-45e6-b727-a6cb9bd99717
206|Francisco de Rojas Zorrilla|Donde hay agravios no hay celos|1 de julio de 2017|Macarena Pérez Bravo y Josemi Rodríguez|Pata Teatro||Patio de Arcos del Colegio Prácticas nº1 de Málaga (Andalucía)||36.7215367|-4.4221785|ed85332a-661a-4094-a495-539ea02eca66
207|Francisco de Rojas Zorrilla|Entre bobos anda el juego|28 de septiembre de 2018|Eduardo Vasco|Compañía Nacional de Teatro Clásico (CNTC)||Teatro Salón Cervantes de Alcalá de Henares (Madrid)||40.4834571|-3.3661106|7b23391f-0673-4b6e-b427-ef5b9090e304
208|Francisco de Rojas Zorrilla|Guateque 69|17 de julio de 2018|Gorka Martín |Sinsorgadas y Producciones|AlmagrOff|Silo de Almagro, Ciudad Real (Castilla La Mancha)||38.8942052|-3.7077272|474d4cc7-253f-4712-905f-f1791274d029
209|Francisco de Rojas Zorrilla|Numancia ocupada||Pedro Hofhuis|Jóvenes Clásicos||||||f3834c2a-b438-4bd8-b86d-99ba8f111d82
210|Francisco de Rojas Zorrilla|Entre bobos anda el juego |10 de junio de 2021|Paco Carrillo|Verbo Producciones|Festival de Teatro Clásico de Cáceres|Cáceres (Extremadura)||39.4716366|-6.3907192|e0b45763-5946-49c8-a989-5c245d840492
211|Francisco de Rojas Zorrilla|Abre el ojo |25 de noviembre de 2022|Eduardo Vasco|Noviembre Teatro||Teatro Calderón de Valladolid, Valladolid (Castilla y León)||41.6539837|-4.7246809|6499b1f0-7ead-4924-9e7c-68cac4ec3fb2
212|Francisco de Rojas Zorrilla|Amo y criado ¡Dónde hay agravios no hay celos!|24 de junio de 2022|Eduardo Vasco|Teatro Libre de Bogotá||Teatro Salón Cervantes de Alcalá de Henares (Madrid)||40.4834571|-3.3661106|c710e1f8-9d36-4ea7-8cd6-c5536558a24f
213|Francisco de Rojas Zorrilla|Los bandos de Verona|27 de junio de 2024|Daniel Alonso de Santos|Secuencia 3|Festival Iberoamericano del Siglo de Oro. Clásicos en Alcalá|||||7cb9e69c-0794-4a45-9416-c67a25db59ef
214|||||||||||747072c2-e5c9-4895-adb3-b40e792dbfcb
215|||||||||||76842ab8-abc0-47a2-b6e9-f22725587fe3
216|Miguel de Cervantes|D. Q. Don Quijote en Barcelona|30 de septiembre de 2000|Àlex Ollé y Carlos Padrissa|La Fura dels Baus||Gran Teatre del Liceu de Barcelona||41.3801969|2.1732948|2b173f54-cb57-42bd-89d4-e0d472090b8c
